mininet> h1 ping -c 100 h2 > ~/h1_ping_h2.log
PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=0.176 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.046 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.049 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.048 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=0.040 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.052 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=0.046 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.035 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=0.040 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=5.76 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.174 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=0.035 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=0.047 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=0.197 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=0.040 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=0.040 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=0.035 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=0.048 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=0.036 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.030 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=0.038 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=0.052 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=0.223 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=0.106 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=0.042 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=0.046 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=0.073 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.027 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=0.043 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.047 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.030 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.033 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.047 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.035 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99001ms
rtt min/avg/max/mdev = 0.027/1.514/36.291/6.838 ms
