mininet> h1 ping -c 100 h4 > ~/zhiyang/assignment7/policyController/output/h1_ping_h4.log
PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=80 ttl=64 time=0.059 ms
64 bytes from 10.0.0.4: icmp_seq=81 ttl=64 time=0.049 ms
64 bytes from 10.0.0.4: icmp_seq=82 ttl=64 time=0.051 ms
64 bytes from 10.0.0.4: icmp_seq=83 ttl=64 time=0.061 ms
64 bytes from 10.0.0.4: icmp_seq=84 ttl=64 time=0.050 ms
64 bytes from 10.0.0.4: icmp_seq=85 ttl=64 time=21.6 ms
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=0.258 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=0.045 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=0.051 ms
64 bytes from 10.0.0.4: icmp_seq=90 ttl=64 time=0.050 ms
64 bytes from 10.0.0.4: icmp_seq=91 ttl=64 time=0.057 ms
64 bytes from 10.0.0.4: icmp_seq=92 ttl=64 time=0.051 ms
64 bytes from 10.0.0.4: icmp_seq=93 ttl=64 time=0.045 ms
64 bytes from 10.0.0.4: icmp_seq=94 ttl=64 time=0.171 ms
64 bytes from 10.0.0.4: icmp_seq=95 ttl=64 time=0.058 ms
64 bytes from 10.0.0.4: icmp_seq=96 ttl=64 time=0.051 ms
64 bytes from 10.0.0.4: icmp_seq=97 ttl=64 time=0.050 ms
64 bytes from 10.0.0.4: icmp_seq=98 ttl=64 time=0.047 ms
64 bytes from 10.0.0.4: icmp_seq=99 ttl=64 time=0.058 ms
64 bytes from 10.0.0.4: icmp_seq=100 ttl=64 time=0.051 ms

--- 10.0.0.4 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 98999ms
rtt min/avg/max/mdev = 0.040/1.941/62.311/9.278 ms
